Name,Drive,Manufacturer,KWH,NumberofSeats,KWH_without_kwh,Acceleration_wtihout_sec,TopSpeed_wtihout_kmperhour,Range_wtihout_km,Efficiency_wtihout_Whperkm,FastChargeSpeed_wtihout_KMperHour,PriceinGermany,PriceinUK
Porsche Taycan 4S Plus,All Wheel Drive,Porsche,       83.7 kWh,4,83.7,4.0,250,435,192,910,113008.0,88193.0
Hyundai Kona Electric 39 kWh,Front Wheel Drive,Hyundai,       39.2 kWh,5,39.2,9.9,155,250,157,210,34850.0,29622.5
Mercedes EQV 300 Long,Front Wheel Drive,Mercedes,       90 kWh,7,90.0,12.1,160,320,281,280,71388.0,70665.0
Mazda MX-30 ,Front Wheel Drive,Mazda,       30 kWh ,5,30.0,9.7,140,170,176,180,34490.0,26045.0
Ford Mustang Mach-E SR RWD,Rear Wheel Drive,Ford,       68 kWh,5,68.0,6.9,180,345,197,380,46900.0,41330.0
Ford Mustang Mach-E ER RWD,Rear Wheel Drive,Ford,       88 kWh,5,88.0,7.0,180,440,200,430,54475.0,49980.0
Ford Mustang Mach-E SR AWD,All Wheel Drive,Ford,       68 kWh,5,68.0,6.3,180,330,206,360,54000.0,46650.0
Ford Mustang Mach-E ER AWD,All Wheel Drive,Ford,       88 kWh,5,88.0,5.8,180,420,210,410,62900.0,57030.0
Ford Mustang Mach-E GT,All Wheel Drive,Ford,       88 kWh,5,88.0,4.4,200,410,215,400,0.0,67225.0
Audi e-tron Sportback 50 quattro,All Wheel Drive,Audi,       64.7 kWh,5,64.7,6.8,190,295,219,490,71350.0,69100.0
Tesla Cybertruck Single Motor,Rear Wheel Drive,Tesla,       100 kWh ,7,100.0,7.0,180,390,256,740,45000.0,39000.0
Tesla Cybertruck Dual Motor,All Wheel Drive,Tesla,       120 kWh ,7,120.0,5.0,190,460,261,710,55000.0,48000.0
Tesla Cybertruck Tri Motor,All Wheel Drive,Tesla,       200 kWh ,7,200.0,3.0,210,750,267,710,75000.0,68000.0
Lexus UX 300e,Front Wheel Drive,Lexus,       50 kWh ,5,50.0,7.5,160,260,192,150,47550.0,43900.0
BMW i4 eDrive40,Rear Wheel Drive,BMW,       80.7 kWh,5,80.7,5.7,190,475,170,660,58300.0,51905.0
Audi e-tron 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,5.7,200,365,237,590,0.0,71500.0
Aiways U5 ,Front Wheel Drive,Aiways,       63 kWh ,5,63.0,7.5,150,335,188,350,35993.0,30594.05
Renault Twingo Electric,Rear Wheel Drive,Renault,       21.3 kWh,4,21.3,12.6,135,130,164,0,24790.0,21071.5
Audi e-tron S 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,4.5,210,320,270,510,93800.0,87000.0
Audi e-tron S Sportback 55 quattro,All Wheel Drive,Audi,       86.5 kWh,5,86.5,4.5,210,335,258,540,96050.0,88700.0
Volkswagen ID.4 1st,Rear Wheel Drive,Volkswagen,       77 kWh,5,77.0,8.5,160,410,188,500,0.0,40800.0
Byton M-Byte 95 kWh 2WD,Rear Wheel Drive,Byton,       95 kWh ,5,95.0,7.5,190,400,238,480,62000.0,57500.0
Fiat 500e Cabrio,Front Wheel Drive,Fiat,       37.3 kWh ,4,37.3,9.0,150,245,152,410,30560.0,26645.0
Opel Mokka-e ,Front Wheel Drive,Opel,       45 kWh ,5,45.0,8.5,150,255,176,340,34110.0,30540.0
Skoda Enyaq iV 60,Rear Wheel Drive,Skoda,       58 kWh,5,58.0,8.7,160,330,176,420,38850.0,31995.0
Skoda Enyaq iV 80,Rear Wheel Drive,Skoda,       77 kWh,5,77.0,8.6,160,420,183,510,43950.0,39350.0
Skoda Enyaq iV 80X,All Wheel Drive,Skoda,       77 kWh,5,77.0,6.9,160,405,190,500,47000.0,42000.0
Skoda Enyaq iV RS,All Wheel Drive,Skoda,       77 kWh,5,77.0,6.2,180,395,195,480,50000.0,45000.0
Fiat 500e Hatchback 42 kWh,Front Wheel Drive,Fiat,       37.3 kWh ,4,37.3,9.0,150,250,149,420,27560.0,23995.0
Citroen e-C4 ,Front Wheel Drive,Citroen,       45 kWh ,5,45.0,9.7,150,250,180,330,34640.0,30895.0
Jaguar I-Pace EV400,All Wheel Drive,Jaguar,       84.7 kWh,5,84.7,4.8,200,365,232,340,77300.0,65195.0
Kia e-Soul 64 kWh,Front Wheel Drive,Kia,       64 kWh,5,64.0,7.9,167,370,173,350,37790.0,32121.5
Kia e-Soul 39 kWh,Front Wheel Drive,Kia,       39.2 kWh,5,39.2,9.9,157,230,170,220,33990.0,28891.5
Audi Q4 Sportback e-tron 35,Rear Wheel Drive,Audi,       51.5 kWh,5,51.5,9.0,160,295,175,410,43900.0,42250.0
Nissan Ariya 63kWh,Front Wheel Drive,Nissan,       63 kWh,5,63.0,7.5,160,335,188,450,45000.0,40000.0
Nissan Ariya 87kWh,Front Wheel Drive,Nissan,       87 kWh,5,87.0,7.6,160,445,196,530,50000.0,45000.0
Nissan Ariya e-4ORCE 63kWh,All Wheel Drive,Nissan,       63 kWh,5,63.0,5.9,200,325,194,440,50000.0,45000.0
Nissan Ariya e-4ORCE 87kWh,All Wheel Drive,Nissan,       87 kWh,5,87.0,5.7,200,420,207,500,57500.0,52500.0
Nissan Ariya e-4ORCE 87kWh Performance,All Wheel Drive,Nissan,       87 kWh,5,87.0,5.1,200,385,226,460,65000.0,57500.0
Volkswagen ID.3 Pro Performance,Rear Wheel Drive,Volkswagen,       58 kWh,5,58.0,7.3,160,350,166,440,36495.0,29740.0
MG MG5 EV,Front Wheel Drive,MG,       48.8 kWh,5,48.8,7.7,185,295,165,340,0.0,25095.0
Volkswagen ID.4 Pro Performance,Rear Wheel Drive,Volkswagen,       77 kWh,5,77.0,8.5,160,410,188,500,44450.0,41570.0
Mercedes EQV 300 Extra-Long,Front Wheel Drive,Mercedes,       90 kWh,7,90.0,12.1,160,320,281,280,72281.0,61438.85
Lucid Air Grand Touring,All Wheel Drive,Lucid,       110 kWh ,5,110.0,3.2,270,660,167,1380,140000.0,125000.0
Lucid Air Touring,All Wheel Drive,Lucid,       85 kWh ,5,85.0,3.4,250,530,160,1390,95000.0,90000.0
Lucid Air Pure,Rear Wheel Drive,Lucid,       85 kWh ,5,85.0,4.2,200,540,157,1410,80000.0,70000.0
Dacia Spring Electric,Front Wheel Drive,Dacia,       26.8 kWh ,4,26.8,15.0,125,170,158,120,20490.0,17416.5
Tesla Model 3 Standard Range Plus LFP,Rear Wheel Drive,Tesla,       51 kWh ,5,51.0,5.6,225,340,150,570,43560.0,40990.0
Tesla Model 3 Long Range Dual Motor,All Wheel Drive,Tesla,       70 kWh ,5,70.0,4.4,233,455,154,570,0.0,48490.0
Tesla Model 3 Performance,All Wheel Drive,Tesla,       76 kWh ,5,76.0,3.3,261,470,162,790,58560.0,59990.0
Fiat 500e Hatchback 24 kWh,Front Wheel Drive,Fiat,       23.8 kWh ,4,23.8,9.5,135,165,144,260,23560.0,20495.0
Fiat 500e 3+1,Front Wheel Drive,Fiat,       37.3 kWh ,4,37.3,9.0,150,245,152,410,29560.0,25126.0
Mercedes EQC 400 4MATIC,All Wheel Drive,Mercedes,       80 kWh,5,80.0,5.1,180,370,216,440,66069.0,65720.0
Kia e-Niro 64 kWh,Front Wheel Drive,Kia,       64 kWh,5,64.0,7.8,167,370,173,350,39090.0,32445.0
Kia e-Niro 39 kWh,Front Wheel Drive,Kia,       39.2 kWh,5,39.2,9.8,155,235,167,230,35290.0,30345.0
Citroen e-SpaceTourer XS 50 kWh,Front Wheel Drive,Citroen,       45 kWh ,7,45.0,12.1,130,185,243,250,50880.0,43248.0
Citroen e-SpaceTourer M 50 kWh,Front Wheel Drive,Citroen,       45 kWh ,7,45.0,12.1,130,185,243,250,51440.0,31995.0
Citroen e-SpaceTourer XL 50 kWh,Front Wheel Drive,Citroen,       45 kWh ,7,45.0,12.1,130,180,250,240,52230.0,44395.5
